"ID","Estadillo","Especie","Fcc_IFN2","Hm_IFN2","Fcc_IFN3","Hm_IFN3","Fcc_IFN4","Hm_IFN4"
"579",424,136,NA,NA,10,4,12,4
"580",424,2102,NA,NA,10,10,15,10
"581",424,5102,NA,NA,10,2,60,2
"582",431,102,30,5,NA,NA,NA,NA
"583",431,106,30,2,20,5,18,4
"584",431,107,30,1,NA,NA,NA,NA
"585",431,137,NA,NA,20,2,20,2
"586",431,5102,NA,NA,40,2,22,2
"587",436,102,NA,NA,2,1,NA,NA
"588",436,106,60,3,2,2,3,4
"589",436,117,NA,NA,3,1,2,2
"590",436,119,NA,NA,2,2,NA,NA
"591",436,136,NA,NA,NA,NA,3,3
"592",436,2102,NA,NA,15,11,8,12
"593",436,5102,NA,NA,NA,NA,12,2
"594",439,106,5,1,NA,NA,NA,NA
"595",439,117,NA,NA,NA,NA,2,1
"596",439,119,1,20,5,1,2,5
"597",439,144,NA,NA,NA,NA,1,3
"598",439,5102,NA,NA,30,2,25,2
"599",452,102,30,7,20,1,NA,NA
"600",452,106,20,1,5,2,3,2
"601",452,5102,NA,NA,NA,NA,25,2
"602",453,119,2,25,20,15,5,10
"603",453,128,1,2,5,2,NA,NA
"604",453,144,NA,NA,10,5,7,7
"605",453,154,NA,NA,10,5,1,3
"606",453,179,NA,NA,NA,NA,2,1
"607",453,2950,NA,NA,NA,NA,10,6
"608",454,101,40,13,NA,NA,NA,NA
"609",454,102,30,4,NA,NA,NA,NA
"610",454,106,10,1,10,15,30,4
"611",454,107,NA,NA,NA,NA,6,1
"612",454,119,NA,NA,2,5,2,4
"613",454,142,NA,NA,2,2,2,1
"614",454,2109,NA,NA,2,2,2,3
"615",454,5102,NA,NA,25,5,17,1
