"Estadillo","SpeciesID","SpeciesName","CanopySHRNFI2","CanopySHRNFI3","CanopySHRNFI4","HmSHRNFI2","HmSHRNFI3","HmSHRNFI4"
290,137,"Vaccinium myrtillus",NA,15,NA,NA,4,NA
290,4104,"Cytisus spp.",NA,5,6,NA,16,12
290,5102,"Erica umbellata",NA,2,2,NA,2,1
293,102,"Erica spp.",20,10,39,8,1,2
293,104,"Other papilionoid shrubs (Ht<1.5m)",15,NA,NA,3,NA,NA
293,106,"Calluna vulgaris",20,10,6,5,7,6
293,107,"Arctostaphylos uva-ursi",15,20,18,1,1,1
293,117,"Halimium spp.",10,5,NA,2,2,NA
293,120,"Daboecia cantabrica",NA,NA,2,NA,NA,3
293,136,"Chamaespartium tridentatum",NA,5,2,NA,4,3
293,2102,"Erica australis",NA,30,22,NA,10,11
295,102,"Erica spp.",40,NA,20,10,NA,2
295,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,4,NA,NA
295,106,"Calluna vulgaris",10,10,12,4,3,5
295,107,"Arctostaphylos uva-ursi",NA,NA,2,NA,NA,1
295,117,"Halimium spp.",5,5,4,3,2,4
295,120,"Daboecia cantabrica",NA,25,10,NA,1,2
295,134,"Spiraea spp.",NA,10,NA,NA,3,NA
295,136,"Chamaespartium tridentatum",NA,NA,1,NA,NA,2
295,144,"Lonicera spp.",NA,NA,2,NA,NA,2
295,2102,"Erica australis",NA,30,24,NA,14,12
295,4104,"Cytisus spp.",NA,5,NA,NA,3,NA
297,102,"Erica spp.",15,30,50,4,1,2
297,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,3,NA,NA
297,106,"Calluna vulgaris",35,30,20,4,4,4
297,107,"Arctostaphylos uva-ursi",15,15,10,1,1,1
297,117,"Halimium spp.",10,5,2,3,2,3
297,119,"Rosa spp.",NA,NA,1,NA,NA,4
297,136,"Chamaespartium tridentatum",NA,3,NA,NA,3,NA
297,2102,"Erica australis",NA,10,5,NA,7,6
298,102,"Erica spp.",25,45,65,6,1,1
298,104,"Other papilionoid shrubs (Ht<1.5m)",20,NA,NA,4,NA,NA
298,106,"Calluna vulgaris",20,10,6,3,3,3
298,107,"Arctostaphylos uva-ursi",20,35,24,1,1,1
298,117,"Halimium spp.",5,3,3,2,2,3
298,136,"Chamaespartium tridentatum",NA,7,4,NA,3,3
298,2102,"Erica australis",NA,25,15,NA,15,12
301,102,"Erica spp.",30,40,10,10,8,1
301,104,"Other papilionoid shrubs (Ht<1.5m)",15,NA,NA,4,NA,NA
301,106,"Calluna vulgaris",20,10,8,4,4,7
301,117,"Halimium spp.",NA,NA,5,NA,NA,2
301,121,"Rubus spp.",NA,NA,1,NA,NA,3
301,136,"Chamaespartium tridentatum",NA,5,3,NA,3,2
301,2102,"Erica australis",NA,NA,42,NA,NA,10
303,102,"Erica spp.",40,NA,NA,15,NA,NA
303,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,4,NA,NA
303,106,"Calluna vulgaris",15,NA,NA,4,NA,NA
303,117,"Halimium spp.",10,10,4,4,3,3
