"ID","Estadillo","lng","lat","Municipio","IDmuni","DANOS1N","DANOS2N","DANOS3N"
"212",423,-4.575345,42.664758,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"213",424,-4.563147,42.664925,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"214",428,-4.660488,42.65455,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"215",429,-4.623901,42.655075,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"216",430,-4.587314,42.655587,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"217",431,-4.575118,42.655756,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"218",432,-4.562922,42.655923,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"219",435,-4.769986,42.643905,"Pino del R�o",34129,"","","No se advierten daños"
"220",436,-4.757793,42.644093,"Pino del R�o",34129,"","","No se advierten daños"
"221",437,-4.7456,42.644279,"Pino del R�o",34129,"","","No se advierten daños"
"222",438,-4.733407,42.644464,"Ayuela",34020,"","","No se advierten daños"
"223",439,-4.648055,42.645724,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"224",440,-4.587085,42.646585,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"225",442,-4.794112,42.634524,"Pino del R�o",34129,"","","No se advierten daños"
"226",443,-4.781921,42.634714,"Pino del R�o",34129,"","","No se advierten daños"
"227",444,-4.733158,42.635463,"Salda�a",34157,"","","No se advierten daños"
"228",445,-4.684392,42.63619,"Tabanera de Valdavia",34179,"","","No se advierten daños"
"229",446,-4.647817,42.636722,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"230",447,-4.562471,42.637919,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"231",448,-4.550278,42.638084,"Buenavista de Valdavia",34037,"","","Se advierten daños en el tronco de pequeña importancia por causas desconocidas"
"232",449,-4.793853,42.625523,"Pino del R�o",34129,"","","Se advierten daños en las hojas de pequeña importancia por causas desconocidas"
"233",450,-4.732908,42.626461,"Salda�a",34157,"","","No se advierten daños"
"234",451,-4.720718,42.626645,"Ayuela",34020,"","","No se advierten daños"
"235",452,-4.696339,42.627009,"Ayuela",34020,"","","No se advierten daños"
"236",453,-4.623199,42.628069,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"237",454,-4.574437,42.628749,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"238",455,-4.562246,42.628916,"Buenavista de Valdavia",34037,"","Se advierten daños en las ramas de pequeña importancia por causas desconocidas","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"239",456,-4.550055,42.629082,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"240",457,-4.757033,42.617089,"Salda�a",34157,"","","No se advierten daños"
"241",458,-4.671719,42.618366,"Valderr�bano",34190,"","","No se advierten daños"
"242",459,-4.635154,42.618893,"Valderr�bano",34190,"","","No se advierten daños"
