"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
272,-4.771775,42.706913,"A","1",NA,NA,3405,"Guardo","Respenda de la Peña",34151,"","","Pentinela y Valdemorata","E.L.M. de Fontecha","Sí","Sí"
274,-4.747365,42.707288,"A","3E","A","1",3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
276,-4.613103,42.709258,"A","4C",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Cotorro, Rebollón y Soto","Ayto. de Congosto de Valdavia","No","No"
279,-4.759316,42.6981,"A","1",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
284,-4.74686,42.689286,"A","1",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
285,-4.734659,42.689471,"A","1",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
286,-4.722457,42.689655,"A","4","A","1",3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
288,-4.661447,42.690557,"A","1",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Roscales","E.L.M. de Cornoncillo","No","No"
289,-4.637042,42.690908,"A","1",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","","","",""
291,-4.53947652,42.69218251,NA,NA,"A","1",3404,"Boedo-Ojeda","Báscones de Ojeda",34028,"","","Bostal","Ayto. de Báscones de Ojeda","Sí","Sí"
292,-4.758808,42.680098,"A","1",NA,NA,3403,"Saldaña-Valdavia","Ayuela",34020,"","","Bascarrión","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
294,-4.734408,42.68047,"A","1",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
296,-4.710008,42.680837,"A","1",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
299,-4.795147,42.670529,"A","1",NA,NA,3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Páramo del Este","E.L.M. de Pino del Rio","No","No"
300,-4.78295,42.670719,"A","1",NA,NA,3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Páramo del Este","E.L.M. de Pino del Rio","No","No"
302,-4.746356,42.671283,"A","3E",NA,NA,3403,"Saldaña-Valdavia","Tabanera de Valdavia",34179,"","","Trasotero y Rabanillo","Ayto. de Tabanera de Valdavia","No","No"
304,-4.72196,42.671652,"A","1",NA,NA,3403,"Saldaña-Valdavia","Tabanera de Valdavia",34179,"","","El Coto y los Paules","Ayto. de Tabanera de Valdavia","Sí","Sí"
305,-4.70984871,42.67186295,NA,NA,"A","1",3403,"Saldaña-Valdavia","Tabanera de Valdavia",34179,"","","El Coto y los Paules","Ayto. de Tabanera de Valdavia","Sí","Sí"
306,-4.685364,42.672197,"A","3E","A","1",3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Santa María de la Vega","E.L.M. de Cornoncillo","No","No"
311,-4.575573,42.67376,"A","4",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Valdemoro","Ayto. de La Puebla de Valdavia","Sí","Sí"
313,-4.518085,42.818619,"A","4C","A","1",3406,"Cervera","Dehesa de Montejo",34067,"","","Mata Alta","E.L.M. de Dehesa de Montejo","No","No"
319,-4.321844,42.794038,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
320,-4.297395,42.794317,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
321,-4.517205,42.78261,"A","1",NA,NA,3406,"Cervera","Dehesa de Montejo",34067,"","","Las Rozas","E.L.M. de Colmenares de Ojeda","No","No"
325,-4.516765,42.764606,"A","4C","A","1",3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Valparaíso","E.L.M. de Amayuelas de Ojeda","No","No"
